Id;Date_creation;Date_modification;Date_lancement;Type_demarche;Nom;Description_rapide;SIREN collectivites_coporteuses;Collectivités porteuses;Population_couverte;Demarche_etat;Chef_de_projet;Contact;Elu_referent;Commentaire_statut;Date_reception_projet;Date_envoi_avis_dreal;Date_envoi_avis_cr;Oblige;Autres_démarches_hors_EC;Autres_demarches;POL_1_1_1;POL_1_1_2;POL_1_1_3;POL_1_1_4;POL_1_1_5;POL_1_1_6;POL_1_3_1;POL_1_3_2;POL_1_3_3;POL_1_3_4;POL_1_3_5;POL_1_3_6;POL_1_6_1;POL_1_6_2;POL_1_6_3;POL_1_6_4;POL_1_6_5;POL_1_6_6;POL_1_7_1;POL_1_7_2;POL_1_7_3;POL_1_7_4;POL_1_7_5;POL_1_7_6;POL_2_1_1;POL_2_1_2;POL_2_1_3;POL_2_1_4;POL_2_1_5;POL_2_1_6;POL_2_3_1;POL_2_3_2;POL_2_3_3;POL_2_3_4;POL_2_3_5;POL_2_3_6;POL_2_6_1;POL_2_6_2;POL_2_6_3;POL_2_6_4;POL_2_6_5;POL_2_6_6;POL_2_7_1;POL_2_7_2;POL_2_7_3;POL_2_7_4;POL_2_7_5;POL_2_7_6;POL_3_1_1;POL_3_1_2;POL_3_1_3;POL_3_1_4;POL_3_1_5;POL_3_1_6;POL_3_3_1;POL_3_3_2;POL_3_3_3;POL_3_3_4;POL_3_3_5;POL_3_3_6;POL_3_6_1;POL_3_6_2;POL_3_6_3;POL_3_6_4;POL_3_6_5;POL_3_6_6;POL_3_7_1;POL_3_7_2;POL_3_7_3;POL_3_7_4;POL_3_7_5;POL_3_7_6;POL_4_1_1;POL_4_1_2;POL_4_1_3;POL_4_1_4;POL_4_1_5;POL_4_1_6;POL_4_3_1;POL_4_3_2;POL_4_3_3;POL_4_3_4;POL_4_3_5;POL_4_3_6;POL_4_6_1;POL_4_6_2;POL_4_6_3;POL_4_6_4;POL_4_6_5;POL_4_6_6;POL_4_7_1;POL_4_7_2;POL_4_7_3;POL_4_7_4;POL_4_7_5;POL_4_7_6;POL_5_1_1;POL_5_1_2;POL_5_1_3;POL_5_1_4;POL_5_1_5;POL_5_1_6;POL_5_3_1;POL_5_3_2;POL_5_3_3;POL_5_3_4;POL_5_3_5;POL_5_3_6;POL_5_6_1;POL_5_6_2;POL_5_6_3;POL_5_6_4;POL_5_6_5;POL_5_6_6;POL_5_7_1;POL_5_7_2;POL_5_7_3;POL_5_7_4;POL_5_7_5;POL_5_7_6;POL_6_1_1;POL_6_1_2;POL_6_1_3;POL_6_1_4;POL_6_1_5;POL_6_1_6;POL_6_3_1;POL_6_3_2;POL_6_3_3;POL_6_3_4;POL_6_3_5;POL_6_3_6;POL_6_6_1;POL_6_6_2;POL_6_6_3;POL_6_6_4;POL_6_6_5;POL_6_6_6;POL_6_7_1;POL_6_7_2;POL_6_7_3;POL_6_7_4;POL_6_7_5;POL_6_7_6;POL_7_1_1;POL_7_1_2;POL_7_1_3;POL_7_1_4;POL_7_1_5;POL_7_1_6;POL_7_3_1;POL_7_3_2;POL_7_3_3;POL_7_3_4;POL_7_3_5;POL_7_3_6;POL_7_6_1;POL_7_6_2;POL_7_6_3;POL_7_6_4;POL_7_6_5;POL_7_6_6;POL_7_7_1;POL_7_7_2;POL_7_7_3;POL_7_7_4;POL_7_7_5;POL_7_7_6;POL_8_1_1;POL_8_1_2;POL_8_1_3;POL_8_1_4;POL_8_1_5;POL_8_1_6;POL_8_3_1;POL_8_3_2;POL_8_3_3;POL_8_3_4;POL_8_3_5;POL_8_3_6;POL_8_6_1;POL_8_6_2;POL_8_6_3;POL_8_6_4;POL_8_6_5;POL_8_6_6;POL_8_7_1;POL_8_7_2;POL_8_7_3;POL_8_7_4;POL_8_7_5;POL_8_7_6;POL_1_Diag_Annee_Compta;POL_2_Diag_Annee_Compta;POL_3_Diag_Annee_Compta;POL_4_Diag_Annee_Compta;POL_5_Diag_Annee_Compta;POL_6_Diag_Annee_Compta;TOTAL_POL__1_1;TOTAL_POL__2_1;TOTAL_POL__3_1;TOTAL_POL__4_1;TOTAL_POL__5_1;TOTAL_POL__6_1;TOTAL_POL__1_3;TOTAL_POL__2_3;TOTAL_POL__3_3;TOTAL_POL__4_3;TOTAL_POL__5_3;TOTAL_POL__6_3;TOTAL_POL__1_6;TOTAL_POL__2_6;TOTAL_POL__3_6;TOTAL_POL__4_6;TOTAL_POL__5_6;TOTAL_POL__6_6;TOTAL_POL__1_7;TOTAL_POL__2_7;TOTAL_POL__3_7;TOTAL_POL__4_7;TOTAL_POL__5_7;TOTAL_POL__6_7;POL_Commentaire
2260;31/07/2024;02/08/2024;13/04/2017;PCAET;PCAET Commuanuté d'Agglomération La Rochelle;;241700434;CA de La Rochelle;174277;Mise en oeuvre;Léo-NICOLLET;Jean-Philippe-ESTRADE | Denis-PAILLET | Energie et Climat-Direction | Simon-SCHIANO | ;Gérard BLANCHARD - Vice-Président en charge du développement durable et du projet La Rochelle Territoire Zéro Carbone;Dépôt du PCAET approuvé le 14 mars 2024;;;;O;PLUI | Autres…;;211;207;140;24;742;59;0;0;0;0;0;0;;;;;;;;;;;;;12;11;75;10;11;3;0;0;0;0;0;0;;;;;;;;;;;;;68;51;1021;2;62;10;0;0;0;0;0;0;;;;;;;;;;;;;18;14;723;18;27;0;0;0;0;0;0;0;;;;;;;;;;;;;92;20;32;0;5;346;0;0;0;0;0;0;;;;;;;;;;;;;1;1;1;0;0;5;0;0;0;0;0;0;;;;;;;;;;;;;39;15;140;7;510;0;0;0;0;0;0;0;;;;;;;;;;;;;1;1;60;4;25;4;0;0;0;0;0;0;;;;;;;;;;;;;2016;2016;2016;2016;2016;2016;442;320;2192;65;1382;427;0;0;0;0;0;0;0;138;680;15;663;371;;;;;;;
1705;28/06/2021;26/07/2021;11/03/2021;PCAET;PCAET 2020-2026 de Valenciennes Métropole;Valenciennes Métropole a adopté son nouveau PCAET en mars 2021.;245901160;CA Valenciennes Métropole;193872;Mise en oeuvre;Florian-Blanchet;Emmanuel-TEYS | DREAL Hauts-de-France-Liste de diffusion | Véronique-THERRY | Florian-Blanchet;;;;;;O;PLUI;;124;116;127;23;536;23;98;92;102;17;486;22;73;68;78;11;424;20;;;;;;;4;3;60;5;51;0;3;3;48;3;46;0;3;2;37;2;40;0;;;;;;;103;71;869;1;86;15;82;57;694;1;78;14;61;42;536;0;68;13;;;;;;;13;7;38;1;5;0;11;5;30;1;5;0;8;4;23;1;4;0;;;;;;;42;14;62;1;7;362;33;11;50;1;6;347;25;8;38;1;5;328;;;;;;;0.4;0.3;0.4;0.05;0;0;0.3;0.2;0.3;0.03;0;0;0.25;0.22;0.25;0.02;0;0;;;;;;;104;68;351;138;607;0;83;54;280;101;550;0;61;40;216;65;480;0;;;;;;;0;0;79;194;26;5;0;0;63;143;24;5;0;0;49;91;21;5;;;;;;;2020;2020;2020;2020;2020;2020;390.4;279.3;1586.4;363.05;1318;405;310.3;222.2;1267.3;267.03;1195;388;231.25;164.22;977.25;171.02;1042;366;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demarches_PCAET_V2_polluant.csv;Demarches_PCAET_V1_pec_seq.csv;Ce fichier contient une extraction des données du diagnostic territorial et des objectifs du territoire pour pour les polluants atmosphériques pour les démarches de type PCAET V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N° colonne;Nom de colonne;Format;Description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entête;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 ? 21;Description de la démarche de type PCAET;Tableau;Reprises des champs du fichier «Demarches_PCAET_V2_entete.Csv »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polluants (5);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 ? 213;POL_<Code Secteur>_<Code période>_<Code Polluant>;numérique;"Diagnostic ou objectif des émissions de polluants par secteur(8)
""1"", ""Résidentiel""
""2"", ""Tertiaire""
""3"", ""Transport routier""
""4"", ""Autres transports""
""5"", ""Agriculture""
""6"", ""Déchets""
""7"", ""Industrie hors branche énergie""
""8"", ""Industrie branche énergie""
par période (4)
""1"", ""Diagnostic""
""3"", ""2026""
""6"", ""2030""
""7"", ""2050""
et par polluant(6)
""1"", ""PM10""
""2"", ""PM2,5""
""3"", ""Oxydes d'azote""
""4"", ""Dioxyde de soufre""
""5"", ""COV""
""6"", ""NH3""
--> 192 colonnes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214 ? 219;POL_<Code Polluant>_Diag_Annee_compta;numérique;Année de comptabilisation par polluant pour la période de diagnostic --> 6 colonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220 ? 243;TOTAL_POL_<Code Polluant>_<Code période>;numérique;Total des émissions de polluants <Code Polluant> par période (4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;POL_Commentaire;texte;Commentaire sur les données d'émissions de polluants;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
